price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,h_age
379950,4,1.75,1970,9389,1,5,61
287000,3,1,1450,6000,1,4,68
2280000,7,8,13540,307752,3,3,22
309950,3,2.5,1880,7838,2,3,27
600000,3,1.75,1880,6360,1,4,76
418000,3,2,1410,6030,1.5,4,91
449250,4,2,1480,3844,1.5,5,93
329950,2,1,1140,5250,1.5,4,72
245000,3,1.75,1920,9306,1,3,37
549000,4,2.5,2910,6338,2,3,13
800000,3,2.5,3240,7857,2,3,27
249950,3,2,1550,15040,1,4,63
210000,5,2,2050,10200,1,3,65
1425000,2,2.5,2220,4000,2,3,21
585000,2,1,1770,8640,1.5,3,72
615000,4,1.75,2300,11700,1,4,44
618500,3,2,1800,5000,1,4,79
487585,4,1.75,2010,9211,1,3,44
509900,3,2.5,1790,2700,2,3,11
631625,4,2.5,2440,6651,2,3,7
555000,3,2.5,1940,3211,2,3,12
340000,2,1.5,1160,1438,2,3,20
830000,4,2.5,3400,9692,2,3,14
890000,4,4.25,4420,5750,2,3,15
366750,3,3,1571,2017,3,3,13
415000,3,2.25,1620,998,2.5,3,11
416286,3,2.5,1408,989,3,3,16
478000,3,2.5,3040,4535,2,3,14
890000,5,3.5,4490,6000,2,3,15
419190,2,2.5,1590,1426,2,3,7
712198,4,2.5,2450,4247,2,3,8
397000,4,2,1440,7680,1,3,50
450000,2,2,1100,3000,1.5,3,109
353000,3,1,1350,7740,1,4,74
609000,4,2.5,2150,37981,2,3,36
234000,3,1.75,1490,8366,1,4,46
561000,3,2,2000,7000,2,3,105
469000,2,1,1030,4400,1,3,97
329350,2,1,720,6687,1,3,79
488000,5,2,2020,5000,1.5,4,83
279900,3,1.75,1580,8151,1,4,59
606000,4,2.5,2110,13850,2,3,34
312000,4,2,1300,7054,1,3,71
650000,3,1.5,1630,7475,1,3,81
1135000,4,2.75,3370,8103,1,3,51
325000,4,2.5,1890,6156,1,3,41
425000,4,2,1520,7983,1,5,54
219000,2,1,900,5160,1,3,69
250000,3,1,1050,6874,1,3,67
390000,3,1.75,1260,6500,1,4,55
475000,6,3,3470,117612,1.5,3,97
736000,4,2.5,2290,12047,2,4,33
407000,4,2.25,2810,23400,1,3,63
272000,3,2.5,1650,13816,2,3,23
362000,3,2.25,1640,14374,1,4,58
535000,3,2.5,1850,10109,2,3,30
284000,4,2.5,2000,5390,2,3,18
367500,3,1.5,1410,9647,1,3,60
379900,4,1.75,1500,11600,1,4,66
520000,3,2.5,2460,54885,2,4,41
175000,3,1,1010,7034,1,3,67
460000,2,2.25,1230,929,2,3,17
345000,4,2.5,2331,3826,2,3,14
455000,5,2.5,2240,7770,1,3,43
610000,4,3,2450,10117,1,5,54
563000,4,3,3100,15480,2,3,25
612500,4,2,2060,5000,1,3,72
218000,3,1.75,1850,7684,1,3,42
404000,4,1.75,1840,10720,1,3,63
860000,4,2,3740,32417,2,3,21
136500,3,1.5,1420,8580,1,3,59
313950,3,1,1510,6083,1,4,81
575000,3,1.75,2130,6500,1,3,67
1225000,4,2.25,3490,6906,2,4,93
280000,3,1.75,1630,11800,1,4,50
515000,3,2.5,1790,7167,2,3,32
513000,4,2.5,2000,5684,2,3,25
599000,4,2.25,2260,29930,2,4,44
685000,4,2.5,3030,7864,2,3,22
365000,3,1.5,1310,8160,1,3,71
762300,4,2.5,3880,14550,2,3,34
1580000,4,3.25,3760,10920,1.5,5,71
562000,5,2.25,3040,8111,2,3,37
530000,5,2.5,2910,9636,1,4,57
525000,3,2.5,2970,11985,1,3,26
484000,2,1.75,1660,6000,1,3,79
725126,4,2.5,3200,12369,2,3,23
360000,4,2,2680,18768,1,5,56
387000,3,1,1230,9568,1,5,59
483500,4,2.5,2740,45732,2,3,26
655500,4,3.5,3380,8330,2,3,21
345000,3,1,1110,6250,1,3,65
533000,5,2.75,1800,3780,1.5,3,95
385000,3,1.75,1900,5520,1,3,39
675000,2,1,930,36478,1,3,70
197000,3,1.75,1690,7735,1,4,45
485000,3,2,1420,4080,1.5,3,116
1870000,5,4,4510,15175,2,3,52
295000,3,2.25,1980,8000,1,4,47
499000,2,1.75,1170,2400,1,4,118
1050000,3,2.5,2200,1970,2,3,13
191000,3,1.5,800,8850,1,4,62
500000,3,2.5,1480,1171,3,3,15
390000,5,3.75,2890,5000,1,3,15
979000,3,2.5,2690,4047,3,3,7
580000,4,3.25,3569,8327,2,3,8
369950,3,2,1270,1320,3,3,15
1800000,5,5,4490,10279,2,3,8
776000,4,2.5,3040,6425,2,3,13
519950,3,2.25,1170,1249,3,3,7
255000,5,2.25,2060,8632,1,3,59
495000,3,1,990,6000,1,3,78
510000,4,2.5,2430,5203,2,3,18
1150000,4,4,4460,103382,2,3,20
253000,3,1.75,1250,10122,1,3,27
503000,3,2.75,1540,6760,1,5,41
275000,3,2.5,1600,7000,2,4,28
249000,3,1,1110,8423,1,3,69
310000,3,1.75,1840,10723,1,4,47
750000,3,2.75,2520,5401,1,4,75
630000,3,2.5,2680,327135,2,3,26
599999,9,4.5,3830,6988,2.5,3,83
758000,4,2.75,2410,9549,1,4,65
248500,4,1.75,1720,10018,1,5,61
310000,3,1.75,2070,37904,1,4,48
460000,3,2,1760,9055,2,4,36
675000,3,1.75,1680,10500,1,4,62
526000,2,2,1550,2400,1.5,4,121
560000,3,3,4120,60392,2,3,27
415000,4,3,1830,9548,2,3,30
246000,3,1,1400,7410,1,3,77
314500,3,1.75,1870,12381,1,4,64
3200000,7,4.5,6210,8856,2.5,5,111
420000,2,1.5,1040,3500,1.5,4,117
535000,3,1.75,2720,149410,1.5,3,33
350000,3,1,1010,9360,1,3,40
515000,3,1.75,1580,9147,1,4,54
749950,4,2.75,2600,6050,2,5,72
230000,3,2.5,1920,9180,2,3,33
568000,3,2,2350,5080,1.5,3,92
250000,1,1,1100,4373,1,2,74
581000,4,2,2510,13695,1,4,60
651000,3,2.5,3240,108366,2,4,30
600000,3,2.5,2460,108900,1,4,44
500000,2,1,1010,3885,1.5,4,115
475000,2,1,820,2723,1,3,100
352000,5,2.5,2420,8560,1,3,43
420000,3,2.25,1770,8165,2,3,44
428000,2,2,1350,3900,1,3,18
599000,3,1.75,1960,4788,1,4,101
492000,4,2.5,3305,16164,1.5,5,99
630000,2,2.25,2550,5663,1,3,10
900000,5,3.75,4130,226076,2,3,36
1110000,4,1.5,2310,13300,1,3,71
575000,4,2,1650,5000,1,3,66
705000,4,2.5,2650,4316,1.5,3,116
940000,4,2.25,1890,5940,1,3,58
313000,3,1.75,2190,8000,1,4,54
618080,3,2.5,2030,6500,2,3,33
640000,3,3,2270,5175,2,3,19
485000,3,2,1610,4160,1,4,104
300000,2,1,760,3001,1,3,108
379500,2,1,1640,17335,1,3,43
339950,3,2.25,1630,12295,2,4,36
1500000,6,2.5,3560,6480,2.5,4,107
1340000,3,3,2960,5500,2,3,84
500000,3,2.5,1940,37565,1,4,34
239900,3,2,1410,7566,1,3,36
314950,3,1,1040,16986,1,4,53
361280,2,1,820,6400,1,4,77
100000,2,1,910,22000,1,3,65
540000,7,5.75,3700,7647,2,3,73
480500,4,2.5,2180,11200,1,4,53
280000,3,2.5,1600,4271,2,3,21
440000,3,1.75,1500,6180,1,4,74
530000,3,1,1340,4284,1,3,111
560000,3,2,1860,13374,1,3,36
775000,3,2,2540,7200,1.5,4,116
160000,2,1,1040,13100,1,5,109
209950,3,1.5,1380,11130,1,3,61
226500,3,1.75,1640,10762,1,3,33
380000,5,1.75,3000,6000,1,5,63
409500,4,2.75,2140,13000,1,3,53
690000,3,2,1760,6428,1,4,79
405000,3,2.25,1660,8307,1,4,60
375000,3,2.5,1830,13042,2,3,31
794154,4,2,2210,8556,1,4,67
185000,4,1,1490,6600,1,3,52
245000,3,1.5,1260,1270,2,3,16
1532500,5,4.5,4270,8076,2,3,14
1040000,4,3.5,3900,8391,2,3,15
425000,2,2.5,1150,1027,3,3,13
495000,4,2.75,2656,21195,2,3,7
365000,5,2.75,2410,5003,1,3,13
417250,3,2.25,1606,1452,3,3,12
339950,2,1,820,681,3,3,15
615000,2,1,1540,6872,1,4,75
403000,3,2.75,2090,8354,2,3,9
980000,5,2.5,3160,11470,1,4,50
258000,4,1.75,1730,8320,1,3,44
533000,3,1,1670,4080,1,3,54
537500,4,2.5,2550,4630,2,3,16
830000,5,3,3040,9601,1,5,53
712000,3,1,1250,4620,1.5,4,121
262000,4,2.5,2020,6236,2,3,19
753888,4,2.5,2660,5500,2,3,18
134000,2,1.5,980,5000,2,3,99
402000,3,2.5,1960,8000,1,4,44
205000,2,1,720,5040,1,3,66
553650,2,2.5,1360,1349,2,3,24
559950,2,2,1870,4950,1,3,15
260000,4,1.5,2130,8800,1,3,59
270000,4,2.5,1810,6509,2,3,27
295000,2,1.75,2200,89298,1,3,48
719000,3,2.5,1690,4500,1.5,4,93
266000,3,2.5,1940,8547,1,3,32
325900,4,2.5,2320,6270,2,3,17
647500,4,1.75,2060,26036,1,4,74
1039000,4,1,3410,5000,2,5,111
569000,4,2.25,2250,41688,2,3,41
246000,3,1.75,1390,7399,1,4,46
515000,2,1,1060,4960,1,3,95
207000,3,1,1490,8995,1,4,67
780000,4,1.75,2480,9195,1,3,71
489990,5,2.25,2440,20828,1.5,4,46
335000,3,1.5,2240,87625,1.5,2,41
295000,3,2.5,1920,7229,2,3,28
385000,3,1.75,1890,9920,1,3,77
350000,4,1.75,2250,13515,1,4,81
235000,2,1,1270,3008,1,4,98
358000,2,1.5,960,1808,2,3,28
716500,4,2.5,3290,6465,2,3,19
228000,4,1.75,2000,6120,1,3,56
405000,2,1,1020,8155,1,4,73
538000,4,1.75,1840,9600,1,3,54
530000,3,1.75,1980,6760,1,4,48
1750000,6,3,3510,5760,2.5,4,115
636000,2,1.75,1230,3600,1.5,5,96
535000,4,2.5,2280,65836,2,3,17
1500000,3,1.75,2430,12757,1,4,69
868500,3,2.5,2920,3942,3,3,13
530000,4,2.75,2280,2850,1.5,4,91
450000,3,2,1510,43560,1,3,67
230000,3,1.75,950,6000,1,3,82
229000,3,2.5,1190,3000,2,3,19
437000,3,1.75,1310,9282,1,4,45
1307000,5,3.25,2800,3200,1.5,5,89
595000,3,2.5,1750,3354,2,4,30
660000,3,1.75,1320,5750,1.5,5,103
347500,4,2.5,2460,7350,2,3,32
297950,3,2,1240,10800,1,3,54
245000,3,1.5,1260,7964,1,4,66
543200,6,2.25,2820,15600,1.5,5,81
1250000,4,3.25,3820,24166,2,4,31
413450,3,2.5,1540,1614,3,3,13
330000,2,2,1550,435600,1.5,2,49
424500,3,1.75,1460,7700,1,3,42
230000,3,1,1390,16000,1,4,61
930000,3,3.25,2640,4080,2,3,109
349000,3,1.75,1590,9620,1,3,33
835000,4,2,1910,6960,1.5,5,80
988500,3,2.75,2015,16807,2,3,14
500000,3,1.75,1410,1197,3,3,9
499000,2,1.5,1110,957,2,3,16
321950,2,1.25,860,1277,2,3,14
494000,3,2.5,2310,4729,2,3,10
441750,2,1.5,1020,1060,3,3,13
438000,2,1,980,1179,2,3,11
985000,4,2.25,4230,37769,2,3,32
352000,3,2.25,1640,11050,1,4,49
839900,4,3.5,3810,13592,1,3,8
765000,4,2.75,2790,10819,2,3,25
460000,4,1.75,1750,5500,1.5,5,95
224500,4,1,1430,8355,1.5,4,38
254000,3,2.5,1850,4597,2,3,18
255000,2,1,960,28717,1,4,37
610000,3,3,2480,45302,1,4,45
920000,4,3,3750,11025,2,3,45
402500,4,2.5,2600,11951,2,3,33
280950,3,1.75,1390,8700,1,4,109
604000,4,2.5,2260,7753,2,3,32
565000,4,2.25,2470,7447,2,3,37
255000,2,1,810,7980,1,1,93
445000,4,2,1650,6000,1,5,62
2400000,3,2.25,3000,11665,1.5,3,20
195000,2,1,720,18000,1,3,71
275000,3,1.5,1390,48257,1,3,99
387000,3,2.25,1445,1606,2,3,18
490000,2,1,1840,3300,1.5,4,111
505000,3,2.5,2100,5824,2,3,22
303500,3,1.5,1060,10464,1,4,48
270000,3,1.5,1500,6337,1,5,68
323000,4,2.75,1970,7213,1,3,44
382000,3,3.25,1410,1253,3,3,16
1370000,4,2.75,3720,9450,1,5,59
280000,4,2,2190,14439,1,4,44
260000,3,2,1920,8075,1,4,52
201500,3,1,1160,8320,1,4,62
1157200,4,4.25,5860,52889,2,4,25
536500,4,1.75,2000,4000,1.5,5,95
248000,4,3,2163,5883,2,3,15
532000,5,3,3480,57499,1,4,45
580000,4,2.5,2840,6268,2,3,23
463000,2,1,1150,4400,1,4,116
742500,4,2.75,3100,3773,2,3,102
260000,3,2.5,1420,14850,1,4,58
590000,4,2.25,2430,32496,1,3,28
312000,4,2.25,1930,7452,1,3,37
566000,3,2.25,1660,10140,1,4,41
511555,3,2,1400,7293,1,4,58
583000,4,2.5,2660,4000,2,3,20
290000,4,2.5,2000,13300,1,4,53
311100,4,2.25,2130,8078,1,4,44
325000,3,2.25,1352,1694,3,3,14
491300,3,1.75,1750,11340,1,4,34
315000,5,1.75,2320,8100,1,4,65
360000,2,1,1420,81892,1,3,65
330000,4,2.5,1940,3784,2,3,18
481450,3,2,1410,4800,1,3,81
234950,3,1,1360,9948,1,3,44
251000,3,1.75,1220,7250,1,3,59
782000,4,2.5,2830,20345,2,3,42
833000,4,2.75,3780,10308,2,3,22
542500,4,2.5,2330,14289,2,4,43
851000,3,2.5,3560,107290,2,3,34
325000,4,1.5,1470,70800,1,3,45
415000,4,2.25,3060,48787,2,3,29
252500,3,1,1030,6127,1,3,74
465000,4,2.5,1930,9653,1,4,53
336900,3,1.75,1780,120661,1,4,42
225000,3,2.5,2000,9202,2,4,29
270000,3,2,1690,9583,1,4,52
1702500,5,4.5,5190,23716,2,3,34
536000,3,1.75,1300,5413,1.5,3,96
585000,4,3.25,2400,29252,2,4,39
445000,2,2,1150,6634,1,3,81
320000,4,2.25,2310,7490,2,3,41
769900,4,3.5,2730,3047,2,3,15
557000,4,2.5,2840,4500,2,3,9
212000,2,1.5,1020,1525,2,3,17
376000,3,2,1340,1384,3,3,13
800000,4,3.25,3540,159430,2,3,14
2238888,5,6.5,7270,130017,2,3,11
324000,3,2.25,998,904,2,3,14
549900,5,2.75,3060,7015,1,5,42
320000,3,2.5,2130,6969,2,3,18
875000,4,2,2520,6000,1,3,100
265000,4,1,1940,9533,1,3,59
394950,3,2.5,1350,1250,3,3,15
842500,4,2.5,2160,5298,2.5,4,119
368000,3,2.5,1370,1350,2,3,14
1225000,4,4.5,5420,101930,1,3,20
885000,4,2.5,2830,5000,2,3,26
453246,3,2.5,2010,2287,2,3,7
927000,4,2.75,3300,12090,2,3,68
490000,2,2.5,1230,1391,2,3,17
341000,3,1.5,1720,7119,1.5,4,69
235000,1,1,810,2451,1,5,80
1200000,3,1.75,1560,8078,1.5,4,93
560000,3,2,2560,216777,1,3,35
900000,4,3.25,4700,38412,2,3,43
255000,2,1,1220,2500,1,3,111
1575000,5,2.75,3650,20150,1,4,46
876650,3,3.25,2170,12508,1.5,5,93
540000,4,2.25,2540,228254,1,3,31
350000,2,1,910,4500,1.5,4,115
750000,4,2.5,2980,4930,2,3,21
582000,4,1.75,2120,4650,1,3,70
1315000,4,3.5,3460,3997,2,3,17
372500,5,3,2480,10090,1,3,17
410000,3,2.25,2200,16921,2,3,34
360000,4,2,1730,5500,1,5,78
1015000,3,2.5,2920,34527,1,4,67
225000,3,1,990,8012,1,4,55
647000,4,2.5,3040,6887,2,3,22
950000,5,3,4530,258746,1.5,4,18
185000,3,1.5,1370,8470,1,4,60
335000,3,2.5,1940,4927,2,3,17
210000,3,2.5,1040,2643,2,3,17
522000,4,2.25,1800,8623,1,4,41
770000,3,1.75,1720,5000,1,3,67
499950,3,1,980,6380,1,3,80
751000,4,2.5,3110,6142,2,3,17
330000,5,3,2100,7715,1,3,8
465000,3,1.5,2020,11358,1,4,65
850000,4,1.75,2350,11914,1,4,60
947500,4,2.25,3290,12329,1.5,4,53
302000,5,2.25,2180,7813,2,3,35
500000,2,2.25,1290,1334,3,3,14
201000,3,1,1460,9750,1,4,52
265000,2,1,1290,2828,2,3,13
870300,4,2.5,2350,3150,1.5,4,111
339000,3,1,1080,8100,1,4,66
690000,4,2.5,2670,13463,2,4,32
788000,4,3.25,3680,5759,2,3,18
315275,3,1.75,1440,8040,1,3,70
505000,4,1.75,1940,4800,1,5,99
368000,3,1,1280,9898,1,3,53
947500,3,2.75,2980,27144,1.5,5,104
156000,3,1,970,8580,1,3,62
610000,4,3,2110,5000,1.5,4,91
420000,2,2.5,1480,1369,3,3,12
192000,2,1,700,10540,1,3,68
910000,3,2,2700,6120,1,4,59
1300000,4,3.25,2330,9687,2,3,103
1346400,5,1.75,3380,20021,1,4,58
840000,4,2.75,2600,2750,1.5,3,85
300000,2,1.75,1360,8100,1,3,46
505000,4,2.5,2780,6369,1,3,43
110000,3,1,1250,53143,1,5,76
746000,3,2.5,2620,8950,2,3,29
211000,3,1.5,1350,7620,1,5,80
675000,4,3,2400,3340,1,4,57
734200,4,2.5,2760,5000,1.5,5,93
1225000,4,2.25,3070,16028,1,3,45
615000,2,1.75,2040,28593,1.5,4,102
630000,4,2,1770,6000,2,5,110
1264000,4,3.75,3490,9170,2,3,9
301500,2,1.5,830,1333,2,3,16
369000,2,2.5,980,895,2,3,12
635000,3,2.5,1570,1433,3,3,11
1033888,4,3.25,3270,5187,2,3,7
383000,4,2.5,2160,6223,2,3,11
1050000,4,3.75,3280,11000,2,3,13
455000,4,2.5,3360,7685,2,3,20
819900,5,2.75,3150,7119,2,3,8
625000,3,3.5,1810,1846,2,4,12
651000,4,2.5,2740,7140,2,3,28
480000,5,4.75,3830,35000,1,3,45
757000,3,3.25,3190,5283,2,3,14
460000,3,2.25,2350,10450,1,3,44
267345,4,2.25,2510,8165,1,4,49
530000,2,2,1680,4950,1,3,15
449500,3,2,1770,6610,1,4,67
289000,3,1,1090,7315,1,5,40
373000,5,2.5,3001,5710,2,3,15
525000,5,3,2450,4591,2,3,27
777000,3,3.25,3610,59677,2,3,18
550000,4,2,2250,7500,1,5,65
523000,3,1.5,1240,7735,1,4,64
628000,4,2,2260,6000,1,3,63
581000,4,1.75,2090,8164,1,4,58
245000,5,1.75,2020,7902,1,3,59
415000,3,1.75,1960,5000,1,5,110
1895000,5,2.25,3120,16672,2,4,52
225000,3,1.5,1250,7500,1,3,54
287000,3,2.25,1490,9600,1,4,34
799200,6,3,2890,2370,2.5,3,115
239950,3,1,1900,33888,1.5,4,79
591000,3,1.75,1680,2400,1,5,99
700000,3,2.5,2030,8398,2,4,46
475000,4,2.5,3740,8700,1,3,17
575000,3,1.75,1580,11750,1,4,70
771000,3,2.25,1780,6120,1.5,4,94
155000,2,1,910,6232,1,3,78
550000,7,4,3440,8100,2,3,51
645000,3,2.5,1740,13750,2,4,46
464000,5,2.5,3400,8970,1,4,62
1050000,4,3.25,4400,16625,2,3,18
350000,3,2.5,2010,14298,2,3,44
591000,4,2.25,2710,38180,2,4,44
2555000,4,2.5,5300,26211,2,2,98
717000,3,1.5,1310,3880,1,3,65
225000,4,1.5,1950,12559,1.5,3,82
225000,3,1,1040,6535,1,3,74
345000,3,1.75,1090,7200,1,3,53
230000,2,0.75,650,5360,1,4,90
385000,3,2,1480,6600,1,3,78
90000,2,1,790,2640,1,3,48
860000,4,2.5,3560,11119,1,3,35
675000,4,2.5,3000,5548,2,3,15
975000,4,2.5,3490,7494,2,3,21
780000,3,1.75,2340,10495,1,4,54
370000,3,1.75,1650,8254,1,5,70
665000,3,2,1940,5820,1.5,5,77
675000,5,3,3410,9600,1,4,53
620000,3,1,1710,4050,1.5,3,112
1105000,4,1.5,2740,4000,2,5,116
450000,3,2.75,1250,892,2,3,11
450000,3,2.25,2450,42180,1,4,43
530000,3,1.75,1690,8190,1,4,63
635000,4,1.75,1950,13320,1,4,52
580000,5,2,2290,7125,1,3,57
1550000,5,3.25,3370,17458,1,5,39
285000,3,1,1090,8640,1,4,48
375000,3,1,1190,9486,1,4,68
1400000,5,4.25,3530,7924,2,3,20
560000,3,1,1440,5000,2,3,111
405000,4,1.75,2180,13529,1,3,65
413000,4,1,1410,6000,1,3,96
287600,3,2.5,1950,8251,2,3,31
1680000,5,3.25,4860,23723,2,4,32
225000,3,1,1660,7210,1,3,58
319000,3,1,1390,12823,1,4,53
322500,3,2,1350,14200,1,3,32
570000,3,2,1530,5401,1,4,84
465000,3,1.5,1270,5112,1,3,71
435000,4,2.25,2140,6355,2,3,19
502000,4,2.5,2040,5616,2,3,9
525000,3,3.5,2876,5086,2,3,14
525000,3,2.5,1580,1161,2,3,13
660000,4,3.5,3400,5196,2,3,9
870000,4,2.5,3520,6773,2.5,3,15
650000,4,2.5,2210,4861,2,3,8
505000,4,2.5,2790,5602,2,3,12
330000,3,2.5,1450,5008,1,3,14
385000,4,1.75,1620,4980,1,4,74
306000,3,1.5,1220,1086,3,3,14
546000,3,1.75,2000,5000,1,4,100
925000,4,2.5,2190,7350,2.5,5,63
542000,4,1.75,1900,8250,1,4,66
800000,3,1,1700,4400,1.5,4,115
620000,5,2.5,2540,3832,2,5,92
175000,2,1,1170,8925,1,3,110
740000,5,5,5774,31675,1,3,37
345000,3,2.25,2120,15003,2,3,37
510000,3,1.75,2170,26460,1,3,35
530000,4,2.75,2450,15002,1,5,47
155000,2,1,700,5200,1,5,69
266000,3,2.5,1780,7214,1,4,35
257200,3,2,1850,8250,1,4,69
265000,3,2,1570,5706,1,3,23
372220,3,1,1290,5500,1,3,70
337500,5,2,1700,7314,1,3,65
582500,2,1.5,1159,4800,1,3,73
489200,3,2.75,1850,9600,1.5,5,56
405100,2,1,840,3522,1,3,74
372977,3,2.5,1690,1618,2,3,7
310000,3,1,1050,9876,1,3,68
538000,3,1.75,1400,3825,1.5,4,117
1400000,3,2.5,2550,7200,2,3,40
317000,3,2.5,1840,5011,2,3,9
702500,3,1.5,2360,6750,2,5,95
565000,4,2.5,2240,14667,2,4,32
723000,4,2.5,2700,4004,2,3,17
766950,3,2.5,3030,30007,1.5,4,29
682000,3,1.75,1830,5120,1.5,5,118
325000,3,2.5,2220,6049,2,4,31
543000,3,2.5,2090,7640,1,3,59
525000,3,1.75,1600,6120,1.5,3,97
364000,4,1.75,2010,8625,1,4,64
394475,2,1,830,4000,1,3,66
316000,4,2.5,2010,7226,2,3,26
339950,3,1,1050,5402,1.5,4,115
486000,4,2.5,2150,39449,1,3,43
160000,3,1,860,11900,1,4,58
930000,3,2.5,3100,20553,1,3,67
139000,3,1,1100,17334,1,3,43
562000,3,1.5,1830,8000,1,4,64
299000,2,1.75,1250,34395,1,4,71
511000,3,2.5,1820,4883,2,3,16
499000,3,2,2090,42689,1.5,3,62
356000,3,3.5,2100,12384,2,3,41
470000,4,2.5,2310,14023,2,3,30
